segment,trench,n_profiles,n_samples,w0_m,te_km,loss_data,loss_phys,loss_bc,rms_fit_m,mad_profiles_m
mariana_05,mariana,8,547,1484.7557533039649,8.806703508687736,0.00938764219326889,0.0022572842191360652,2.66924848433602e-07,143.85775578999787,263.2979581497798
mariana_06,mariana,8,545,2730.7293270925106,9.943981120097428,0.0038318568686188754,0.0037464054690412836,6.347982830193847e-08,169.0375905854704,157.56501872246645
middle_america_01,middle_america,8,551,2504.0776079295156,7.986459336285487,0.0005476045354141035,0.00034975340587746544,3.624384336201704e-07,58.59779888592899,45.686431718061385
middle_america_02,middle_america,8,549,2382.9005726872247,7.663384393628312,0.0007808179707391344,8.711305105603638e-05,6.020403266336186e-08,66.58567730750127,67.38673127753304
middle_america_03,middle_america,8,550,1413.608883259912,7.441042418796574,0.002829016654921981,0.008712807121684457,4.389814952767503e-07,75.18773771741733,101.17925220264317
middle_america_04,middle_america,8,547,1866.9236079295156,9.365325562136631,0.0014882954941474276,0.005182410697305768,1.928647794137986e-07,72.02298735879101,86.8293303964756
middle_america_05,middle_america,8,521,1481.6135748898678,10.900637931472419,0.005657652402961135,0.0030069090456693987,5.105183379960412e-08,111.44307304435823,162.55554955947173
middle_america_06,middle_america,8,544,907.8701850220264,4.883634324510228,0.0255893924013943,0.14148721359397837,1.7828299475680068e-09,145.22913172752732,123.57105011013198
new_britain_01,new_britain,8,545,5506.446178414097,29.777990227548784,0.01851365886438841,0.0064072999195845205,3.8086083803417326e-06,749.2340861034895,410.3253810572686
new_britain_02,new_britain,8,550,6127.3135859030845,22.55756712946244,0.00628599948664388,0.02150188702719358,4.225342996519092e-08,485.7997399501211,746.4192488986787
new_britain_03,new_britain,6,549,6037.56742951542,18.42132819929511,0.0070470393173997095,0.019694756748807565,1.926228691108677e-07,506.83353364792254,228.91592290748906
new_hebrides_01,new_hebrides,8,497,3269.2356123348018,27.565140400612798,0.011751381538102769,0.03611050516893666,2.9050564179792418e-06,354.3975285444347,572.0505925110131
new_hebrides_02,new_hebrides,8,549,4907.064973568282,24.49880363650208,0.008746290104641586,0.011704304909880626,6.880423270441298e-07,458.9165791251023,296.2155715859021
new_hebrides_03,new_hebrides,8,550,5017.30872907489,10.19825351553812,0.0032911087332366763,0.021745646254242912,8.665039710226017e-07,287.833899003048,389.51563325991174
new_hebrides_04,new_hebrides,8,550,5034.919376651982,16.729763081485906,0.00388239582038836,0.011960113580759029,2.1458953396233427e-07,313.72015870620237,308.2017852422907
palau_01,palau,8,534,2631.6254779735677,8.559644548162428,0.003013573802337798,0.0016022674360931593,1.602498330914377e-08,144.46578381892195,116.24133149779686
peru-chile_01,peru-chile,8,518,1200.1513105726872,8.897159021430477,0.003379004559144156,0.002601988298819563,8.180360761108165e-09,69.76384244295477,139.01190473568283
peru-chile_02,peru-chile,8,549,2073.9939724669607,9.274299176744442,0.0012400922467917846,0.00017408236888124122,1.0710292894338687e-08,73.03558059167382,92.73096035242224
peru-chile_03,peru-chile,8,545,2524.75845154185,9.821481285332716,0.0014463675047971826,0.0013529023801850653,9.05573229935323e-08,96.01943865471333,100.63438766519835
peru-chile_04,peru-chile,8,550,3366.9302929515416,8.64029521085017,0.0015021026969062748,0.0027252850871132507,3.385142005498751e-08,130.49201519736312,169.9914768722466
peru-chile_05,peru-chile,8,550,3379.5643325991186,9.97083651244833,0.0014297861649793639,0.008845770218512326,8.496348722356624e-08,127.789821404952,127.12286343612323
philippine_01,philippine,8,550,2066.337189427313,7.845490050163342,0.0027666823759135853,0.005826249720950122,3.212085095971945e-08,108.68781146177024,152.11383975770923
philippine_02,philippine,8,545,3054.5760770925103,8.831488492306194,0.0007152623426940282,0.0019695108069369147,2.6765224756074215e-08,81.69277081933548,62.12549008810447
